Date,item1
2022-09-12,595.0
2022-09-13,587.0
2022-09-14,612.0
2022-09-15,599.0
2022-09-16,586.0
2022-09-17,585.0
2022-09-18,570.0
2022-09-19,560.0
2022-09-20,573.0
2022-09-21,583.0
2022-09-22,580.0
2022-09-23,581.0
2022-09-24,579.0
2022-09-25,569.0
2022-09-26,575.0
2022-09-27,582.0
2022-09-28,586.0
2022-09-29,589.0
2022-09-30,613.0
2022-10-01,599.0
2022-10-02,585.0
2022-10-03,590.0
2022-10-04,614.0
2022-10-05,623.0
2022-10-06,620.0
2022-10-07,680.0
2022-10-08,658.0
2022-10-09,664.0
2022-10-10,643.0
2022-10-11,676.0
2022-10-12,691.0
2022-10-13,685.0
2022-10-14,690.0
2022-10-15,689.0
2022-10-16,675.0
2022-10-17,699.0
2022-10-18,693.0
2022-10-19,691.0
2022-10-20,698.0
2022-10-21,688.0
2022-10-22,688.0
2022-10-23,680.0
2022-10-24,680.0
2022-10-25,689.0
2022-10-26,681.0
2022-10-27,679.0
2022-10-28,675.0
2022-10-29,665.0
2022-10-30,647.0
2022-10-31,625.0
2022-11-01,636.0
2022-11-02,643.0
2022-11-03,628.0
2022-11-04,636.0
2022-11-05,627.0
2022-11-06,616.0
2022-11-07,625.0
2022-11-08,624.0
2022-11-09,623.0
2022-11-10,630.0
2022-11-11,640.0
2022-11-12,632.0
2022-11-13,628.0
2022-11-14,619.0
2022-11-15,635.0
2022-11-16,637.0
2022-11-17,627.0
2022-11-18,634.0
2022-11-19,620.0
2022-11-20,615.0
2022-11-21,614.0
2022-11-22,629.0
2022-11-23,626.0
2022-11-24,623.0
2022-11-25,631.0
2022-11-26,630.0
2022-11-27,624.0
2022-11-28,629.0
2022-11-29,649.0
2022-11-30,657.0
2022-12-01,696.0
2022-12-02,717.0
2022-12-03,700.0
2022-12-04,684.0
2022-12-05,670.0
2022-12-06,685.0
2022-12-07,693.0
2022-12-08,694.0
2022-12-09,693.0
2022-12-10,688.0
2022-12-11,689.0
2022-12-12,689.0
2022-12-13,692.0
2022-12-14,689.0
2022-12-15,693.0
2022-12-16,684.0
2022-12-17,679.0
2022-12-18,685.0
2022-12-19,664.0
2022-12-20,699.0
2022-12-21,686.0
2022-12-22,683.0
2022-12-23,678.0
2022-12-24,651.0
2022-12-25,640.0
2022-12-26,629.0
2022-12-27,615.0
2022-12-28,611.0
2022-12-29,609.0
2022-12-30,603.0
2022-12-31,599.0
2023-01-01,570.0
2023-01-02,571.0
2023-01-03,558.0
2023-01-04,567.0
2023-01-05,549.0
2023-01-06,529.0
2023-01-07,496.0
2023-01-08,470.0
2023-01-09,451.0
2023-01-10,477.0
2023-01-11,479.0
2023-01-12,469.0
2023-01-13,469.0
2023-01-14,458.0
2023-01-15,430.0
2023-01-16,429.0
2023-01-17,440.0
2023-01-18,417.0
2023-01-19,409.0
2023-01-20,405.0
2023-01-21,401.0
2023-01-22,393.0
2023-01-23,388.0
2023-01-24,385.0
2023-01-25,397.0
2023-01-26,396.0
2023-01-27,396.0
2023-01-28,394.0
2023-01-29,393.0
2023-01-30,391.0
2023-01-31,397.0
2023-02-01,398.0
2023-02-02,407.0
2023-02-03,405.0
2023-02-04,399.0
2023-02-05,394.0
2023-02-06,397.0
2023-02-07,394.0
2023-02-08,396.0
2023-02-09,397.0
2023-02-10,389.0
2023-02-11,387.0
2023-02-12,379.0
2023-02-13,376.0
2023-02-14,364.0
2023-02-15,369.0
2023-02-16,345.0
2023-02-17,322.0
2023-02-18,303.0
2023-02-19,282.0
2023-02-20,275.0
2023-02-21,261.0
2023-02-22,253.0
2023-02-23,250.0
2023-02-24,251.0
2023-02-25,239.0
2023-02-26,241.0
2023-02-27,232.0
2023-02-28,248.0
2023-03-01,254.0
2023-03-02,250.0
2023-03-03,276.0
2023-03-04,268.0
2023-03-05,254.0
2023-03-06,252.0
2023-03-07,250.0
2023-03-08,252.0
2023-03-09,250.0
2023-03-10,263.0
2023-03-11,255.0
2023-03-12,255.0
2023-03-13,277.0
2023-03-14,275.0
2023-03-15,279.0
2023-03-16,286.0
2023-03-17,283.0
2023-03-18,280.0
2023-03-19,280.0
2023-03-20,280.0
2023-03-21,280.0
2023-03-22,280.0
2023-03-23,279.0
2023-03-24,299.0
2023-03-25,294.0
2023-03-26,309.0
2023-03-27,295.0
2023-03-28,289.0
2023-03-29,296.0
2023-03-30,315.0
2023-03-31,317.0
2023-04-01,328.0
2023-04-02,337.0
2023-04-03,320.0
2023-04-04,326.0
2023-04-05,353.0
2023-04-06,350.0
2023-04-07,279.0
2023-04-08,364.0
2023-04-09,350.0
2023-04-10,353.0
2023-04-11,352.0
2023-04-12,347.0
2023-04-13,345.0
2023-04-14,352.0
2023-04-15,339.0
2023-04-16,329.0
2023-04-17,314.0
2023-04-18,319.0
2023-04-19,299.0
2023-04-20,306.0
2023-04-21,300.0
2023-04-22,291.0
2023-04-23,273.0
2023-04-24,268.0
2023-04-25,264.0
2023-04-26,271.0
2023-04-27,269.0
2023-04-28,266.0
2023-04-29,265.0
2023-04-30,258.0
2023-05-01,264.0
2023-05-02,260.0
2023-05-03,251.0
2023-05-04,255.0
2023-05-05,256.0
2023-05-06,252.0
2023-05-07,249.0
2023-05-08,248.0
2023-05-09,247.0
2023-05-10,254.0
2023-05-11,258.0
2023-05-12,262.0
